ID,TIPID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
577,7801,0.4,0.4,0.4,0.4,0.4
578,7802,2.2,2.2,2.2,2.2,2.2
579,7803,2.1,2.1,2.1,2.1,2.1
580,7804,2.4,2.4,2.4,2.4,2.4
581,7805,0.12,0.12,0.12,0.12,0.12
582,7806,0.6,0.6,0.6,0.6,0.6
583,7807,0.12,0.12,0.12,0.12,0.12
584,7808,3.5639,3.5999,3.4977,3.5,3.2447
585,7809,0.13,0.13,0.13,0.13,0.13
586,7810,1.3378,1.3378,1.3378,1.3378,1.3378
587,7811,1.8,1.8,1.8,1.8,1.8
588,7901,0.35,0.45,0.45,0.45,0.45
589,7902,2.5,8.125,8.125,8.125,6.925
590,7903,1.0,1.0,1.0,1.0,1.0
591,7904,0.0,0.0,0.0,0.0,0.0
592,7905,0.0,2.5,0.0,0.0,0.0
593,7906,0.4,0.625,0.625,0.625,0.625
594,7907,0.0,2.0,0.0,0.0,0.0
595,8000,0.0,0.0,0.0,0.0,0.0
596,9001,0.0,0.0,0.0,0.0,0.0
597,9002,0.0,0.0,2.75,2.75,0.0
598,9003,1.44,2.16,2.16,1.44,0.0
599,9005,1.3,1.7,0.0,0.0,0.0
600,9007,1.5,0.0,0.0,0.0,0.0
601,9011,0.64,0.0,0.0,0.0,0.0
602,9012,0.0,0.0,1.6,0.0,0.0
603,9013,0.0,0.0,0.12,4.3,2.58
604,9201,9.4,9.3,12.1,7.3,0.0
605,9202,0.0,0.0,0.0,0.0,0.0
606,9203,0.0,0.0,0.0,0.0,0.0
607,9204,0.0,0.0,0.0,0.0,0.0
608,9205,0.0,0.0,0.0,0.0,0.0
609,9300,0.0,0.0,0.0,0.0,0.0
610,9301,1.0,0.0,3.5,0.0,2.95
611,9302,0.0,2.4,0.0,3.5,0.0
612,9303,0.0,2.25,0.0,3.5,0.0
613,9304,1.0,0.0,3.5,0.0,0.0
614,9305,1.0,0.0,2.65,0.0,3.5
615,9306,0.0,2.5,0.0,2.65,0.0
616,9307,1.2,2.5,0.0,0.0,1.5
617,9308,0.0,0.0,0.0,0.0,0.0
619,9501,0.0,0.0,0.0,0.0,0.0
620,9502,0.0,0.0,0.0,0.0,0.0
621,9503,0.0,0.0,0.0,0.0,0.0
622,9504,0.0,0.0,0.0,0.0,0.0
623,11001,3.0,3.0,3.0,3.0,3.0
624,11003,2.46,2.46,2.46,2.46,2.46
625,1356,0.0,0.0,0.0,0.0,0.0
626,9010,,,,,
627,1438,,,,,
628,1447,,,,,
629,5003,,,,,
630,5006,,,,,
631,5012,,,,,
632,5013,,,,,
633,5016,,,,,
634,5017,,,,,
635,5020,,,,,
636,5037,,,,,
637,5042,,,,,
638,5043,,,,,
639,5047,,,,,
640,5059,,,,,
641,5062,,,,,
642,5063,,,,,
643,5064,,,,,
644,5065,,,,,
645,5066,,,,,
646,5068,,,,,
647,5073,,,,,
648,5079,,,,,
649,5080,,,,,
650,5081,,,,,
651,5082,,,,,
652,5084,,,,,
653,5093,,,,,
654,5094,,,,,
655,5110,,,,,
656,5111,,,,,
657,5113,,,,,
658,5118,,,,,
659,5124,,,,,
660,5127,,,,,
661,5132,,,,,
662,5150,,,,,
663,5153,,,,,
664,5163,,,,,
665,5188,,,,,
666,5189,,,,,
667,5192,,,,,
668,5198,,,,,
669,5203,,,,,
670,5206,,,,,
671,5207,,,,,
672,5208,,,,,
673,5210,,,,,
674,5211,,,,,
675,5223,,,,,
676,5235,,,,,
677,5239,,,,,
678,5243,,,,,
679,5245,,,,,
680,5247,,,,,
681,5250,,,,,
682,5251,,,,,
683,5252,,,,,
684,5263,,,,,
