ID,TIPID,LineItemName,FY20GasTax,FY20RICAPHIP,FY20RIHMA,FY20RICAPprojects,FY20RICAPfacilities,FY20ProjectCloseouts,FY20IWAYLandSales,FY20GARVEE,FY20TollRevenue,FY20RailwayProgram,FY20HSIP,FY20TAP,FY20NHPP,FY20CMAQ,FY20Planning,FY20STP,FY20NationalFreight,FY20NHTSA,FY20FTA,FY20Earmarks,FY20TollCredits,FY20TransitBond,FY20allocation
218,1491,,,,,,,,,,,,0.3,,,,,,,,,0.0,0.0,0.0,0.3
225,1498,,,,,,,,,,,,0.5,,,,,,,,,0.0,0.0,0.0,0.5
233,1506,,,,,,,,,,,,1.6,,,,,,,,,0.0,0.0,0.0,1.6
236,1509,,,,,,,,,,,,3.2,,,,,,,,,0.0,0.0,0.0,3.2
237,1510,,,,,,,,,,,,,,,,,1.45,,,,0.0,0.0,0.0,1.45
239,1512,,,,,,,0.2,,,,,,,,,,,,,,0.0,0.0,0.0,0.2
241,1514,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
248,1521,,,,,,,,,,,,0.075,,,,,,,,,0.0,0.0,0.0,0.075
249,1522,,,,,,,,,,,,0.2,,,,,,,,,0.0,0.0,0.0,0.2
252,1525,,,,,,,,,,,,0.1,,,,,,,,,0.0,0.0,0.0,0.1
253,1526,,,,,,,,,,,,0.1,,,,,,,,,0.0,0.0,0.0,0.1
255,1528,,,,,,,,,,,,0.2,,,,,,,,,0.0,0.0,0.0,0.2
258,1531,,,,,,,,,,,,,,,,,0.1,,,,0.0,0.0,0.0,0.1
259,1532,,,,,,,,,,,,,,,,,0.1,,,,0.0,0.0,0.0,0.1
262,1535,,,,,,,,,,,,,,,,,0.1,,,,0.0,0.0,0.0,0.1
263,1536,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
264,1537,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
265,1538,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
267,1540,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
268,1541,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
269,1542,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
271,1544,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
303,1576,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
304,1578,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
305,1579,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
306,5001,,,,0.063,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.063
307,5002,,,,0.072,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.072
308,5004,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
309,5005,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
310,5007,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
311,5008,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
312,5009,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
313,5010,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
314,5011,,,0.88,,,,,,,,,,,,,,,,,2.7,0.0,0.0,0.0,3.58
315,5014,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
