Allocation,ID,TIPID,LineItemName,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond
0.0,173,1421,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,174,1423,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.3,175,1424,,,,,,,,,,,,,,0.3,,,,,,,0.0,0.0,0.0
2.7,176,1425,,,,,,,,,,,,,,,,,2.7,,,,0.0,0.0,0.0
2.5,177,1427,,0.5,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,178,1430,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0
0.4,179,1431,,,,,,,,,,,,,,,,,0.4,,,,0.0,0.0,0.0
1.2,180,1439,,,,,,,,,,,,,,1.2,,,,,,,0.0,0.0,0.0
0.0,181,1444,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.3,182,1445,,,,,,,,,,,,,,,,,0.3,,,,0.0,0.0,0.0
0.5,183,1446,,,,,,,,,,,,0.5,,,,,,,,,0.0,0.0,0.0
0.0,184,1450,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,185,1451,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,187,1453,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,188,1454,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,189,1455,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,190,1456,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,191,1457,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,192,1458,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.0,193,1459,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.9,194,1460,,,,0.1,,,,,,,,0.4,,,,,,,,,0.4,0.0,0.0
0.0,196,1462,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0
0.6,200,1466,,,,,,,,,,,,0.6,,,,,,,,,0.0,0.0,0.0
3.2,201,1467,,,,,,,,,,,,,,3.2,,,,,,,0.0,0.0,0.0
0.0,202,1468,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
3.6,203,1469,,,,,,,,,,,,3.6,,,,,,,,,0.0,0.0,0.0
1.1,204,1470,,,,,,,,,,,,1.1,,,,,,,,,0.0,0.0,0.0
0.6,210,1476,,,,,,,,,,,,0.6,,,,,,,,,0.0,0.0,0.0
0.4,212,1478,,,,,,,,,,,,0.4,,,,,,,,,0.0,0.0,0.0
0.9,214,1484,,,,,,,,,,,,0.9,,,,,,,,,0.0,0.0,0.0
