TIPID,Municipalities,BridgeGroup,FY16CMAQ,FY16FTA,FY16GARVEE,FY16GasTax,FY16HSIP,FY16IWAYLandSales,FY16NHPP,FY16NHTSA,FY16NationalFreight,FY16Planning,FY16ProjectCloseouts,FY16RICAPFacilities,FY16RICAPHIP,FY16RIHMA,FY16RailwayProgram,FY16STBGSA,FY16STP,FY16TAP,FY16TIGER,FY16TollRevenue,FY16TransitHubBond,FY16UnallocatedBonds,FY16allocation,FY16other,ID,RICAPProjects
5102.0,New Shoreham,,,,,,,,,,,,,,,,,,,,,,,,,,,
9201.0,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364.0,"Newport, Middletown",,,,,,,,,,,,,,,,,,,,,,,,,,,
1373.0,Pawtucket,,,,,,,,0.1305,,,,,,,,,,,,,,,,0.1305,,92.0,
1271.0,Pawtucket,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375.0,"Pawtucket, E. Providence",,,,,,,,,,,,,,,,,,,,,,,,,,,
9503.0,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377.0,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379.0,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380.0,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286.0,Portsmouth,,,,,,,,0.1,,,,,,,,,,,,,,,,0.1,,93.0,
1376.0,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378.0,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269.0,Providence,,,,,,,,0.18,,,,,,,,,,,,,,,,0.18,,82.0,
1281.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5179.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5191.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5209.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285.0,"Providence, Cranston",,,,,,,,,,,,,,,,,,,,,,,,,,,
1280.0,"Providence, Johnston",,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.0,"Providence, N. Providence, Lincoln",,,,,,,,,,,,,,,,,,,,,,,,,,,
1386.0,"Providence, Pawtucket",,,,,,,,,,,,,,,,,,,,,,,,,,,
1270.0,"Providence, Pawtucket",,,,,,,,,,,,,,,,,,,,,,,,,,,
1387.0,Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,
5218.0,Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220.0,Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277.0,S. Kingstown,,,,,,,,0.1,,,,,,,,,,,,,,,,0.1,,101.0,
1395.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1398.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5246.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5323.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5324.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279.0,"S. Kingstown, N. Kingstown",,,,,,,,,,,,,,,,,,,,,,,,,,,
1576.0,"S. Kingstown, N. Kingstown, Exeter",,,,,,,,,,,,,,,,,,,,,,,,,,,
1401.0,"S. Kingstown, Narragansett",,,,,,,,,,,,,,,,,,,,,,,,,,,
1391.0,Scituate,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392.0,Scituate,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388.0,Scituate,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389.0,Scituate,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390.0,Scituate,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393.0,"Scituate, Johnston",,,,,,,,0.29,,,,,,,,,,,,,,,,0.29,0.0,194.0,
5230.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
5233.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
5234.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
5227.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
5238.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394.0,"Smithfield, N. Providence",,,,,,,,,,,,,,,,,,,,,,,,,,,
1578.0,"Smithfield, N. Smithfield, Burrillville, N. Providence",,,,,,,,,,,,,,,,,,,,,,,,,,,
1402.0,Tiverton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404.0,Tiverton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405.0,Tiverton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.0,Tiverton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403.0,Tiverton,,,,,,,,,,,,,,,,,,,,,,,,,,,
5261.0,Tiverton,,,,,,,,,,,,,,,,,,,,,,,,,,,
5257.0,Tiverton,,,,,,,,,,,,,,,,,,,,,,,,,,,
5259.0,Tiverton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417.0,W. Warwick,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408.0,Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409.0,Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406.0,Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,
