TIPID,Municipalities,ID,LineItemName,FY19GasTax,FY19RICAPHIP,FY19RIHMA,FY19RICAPprojects,FY19RICAPfacilities,FY19ProjectCloseouts,FY19IWAYLandSales,FY19GARVEE,FY19TollRevenue,FY19RailwayProgram,FY19HSIP,FY19TAP,FY19NHPP,FY19CMAQ,FY19Planning,FY19STP,FY19NationalFreight,FY19NHTSA,FY19FTA,FY19Earmarks,FY19TollCredits,FY19TransitBond,FY19allocation
1299.0,Bristol,63.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1302.0,Burrillville,66.0,,,,,,,,,,,,,,,,,3.2,,,,0.0,0.0,0.0,3.2
1304.0,Burrillville,67.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5009.0,Burrillville,312.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5008.0,Burrillville,311.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1305.0,Central Falls,68.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1306.0,"Central Falls, Pawtucket",69.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1307.0,"Central Falls, Pawtucket, Cumberland",70.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1317.0,"Central Falls, Pawtucket, Cumberland",78.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1308.0,Charlestown,71.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1311.0,Coventry,73.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1309.0,Coventry,72.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5018.0,Coventry,317.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5019.0,Coventry,318.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1313.0,"Coventry, W. Warwick",74.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1314.0,Cranston,75.0,,,,,,,,,,,,,,4.4,,,,,,,0.0,0.0,0.0,4.4
1315.0,Cranston,76.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5026.0,Cranston,323.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5027.0,Cranston,324.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1318.0,Cumberland,79.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1319.0,Cumberland,80.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1321.0,Cumberland,81.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1322.0,Cumberland,82.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5031.0,Cumberland,328.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1284.0,E. Greenwich,49.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5038.0,E. Greewich,333.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1323.0,E. Providence,83.0,,,,2.6,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,2.6
1325.0,E. Providence,85.0,,,,,,,,,,,,,0.1,0.0,,,,,,,0.0,0.0,0.0,0.1
1326.0,E. Providence,86.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1272.0,E. Providence,39.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1273.0,E. Providence,40.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1295.0,E. Providence,59.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1324.0,E. Providence,84.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5050.0,E. Providence,342.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5048.0,E. Providence,340.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5041.0,E. Providence,336.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5046.0,E. Providence,339.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
5049.0,E. Providence,341.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1327.0,"Foster, Glocester",87.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1579.0,"Foster, Scituate",305.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1328.0,Glocester,88.0,,,,1.1,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.1
