FY17CMAQ,FY17Earmarks,FY17FTA,FY17GARVEE,FY17GasTax,FY17HSIP,FY17IWAYLandSales,FY17NHPP,FY17NHTSA,FY17NationalFreight,FY17Planning,FY17ProjectCloseouts,FY17RICAPHIP,FY17RICAPfacilities,FY17RICAPprojects,FY17RIHMA,FY17RailwayProgram,FY17STP,FY17TAP,FY17TollCredits,FY17TollRevenue,FY17TransitBond,FY17allocation,ID,LineItemName,ProjectName,TIPID
,0.0,,,,0.6,,,,,,,,,,,,,,0.0,,0.0,0.6,827,,,1469
,0.0,,,,0.075,,,,,,,,,,,,,,0.0,,0.0,0.075,828,,,1470
,0.0,,,,0.1,,,,,,,,,,,,,,0.0,,0.0,0.1,834,,,1476
,0.0,,,,0.0563,,,,,,,,,,,,,,0.0,,0.0,0.0563,836,,,1478
,0.0,,,,0.1,,,,,,,,,,,,,,0.0,,0.0,0.1,838,,,1484
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,839,,,1485
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,843,,,1491
,0.0,,,,0.1,,,,,,,,,,,,,,0.0,,0.0,0.1,850,,,1498
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,858,,,1506
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,861,,,1509
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,862,,,1510
,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,864,,,1512
,0.0,,,,0.3,,,,,,,,,,,,,,0.0,,0.0,0.3,866,,,1514
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,873,,,1521
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,874,,,1522
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,877,,,1525
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,878,,,1526
,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,880,,,1528
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,883,,,1531
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,884,,,1532
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,887,,,1535
,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,888,,,1536
