TIPID,Municipalities,ID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
5299.0,Woonsocket,506,0.0,0.0,0.0,0.0,0.0
5301.0,Woonsocket,508,0.0,0.0,0.0,0.0,0.0
5304.0,Woonsocket,511,0.0,0.0,0.0,0.0,0.0
5306.0,Woonsocket,512,0.0,0.0,0.0,0.0,0.0
5300.0,Woonsocket,507,0.0,0.0,0.0,0.0,0.0
5303.0,Woonsocket,510,0.0,0.0,0.0,0.0,0.0
5302.0,Woonsocket,509,0.0,0.0,0.0,0.0,0.0
5316.0,Woonsocket,521,0.0,0.0,0.0,0.0,0.0
5313.0,Woonsocket,518,0.0,0.0,0.0,0.0,0.0
5312.0,Woonsocket,517,0.0,0.0,0.0,0.0,0.0
5315.0,Woonsocket,520,0.0,0.0,0.0,0.0,0.0
5311.0,Woonsocket,516,0.0,0.0,0.0,0.0,0.0
1424.0,"Woonsocket, Cumberland",174,0.0,0.0,0.0,0.0,0.0
5272.0,Warwick,486,0.0,0.0,0.0,0.0,0.0
5083.0,N. Smithfield,355,0.0,0.0,0.0,0.0,0.0
5037.0,E. Greewich,636,,,,,
5042.0,E. Providence,637,,,,,
5043.0,E. Providence,638,,,,,
5082.0,"Middletown, Portsmouth",651,,,,,
5084.0,N. Smithfield,652,,,,,
5118.0,N. Kingstown,658,,,,,
1450.0,N. Smithfield,183,0.0,0.0,0.0,0.0,0.0
1451.0,"Warwick, W. Warwick, Johnston",184,0.0,0.0,0.0,0.0,0.0
1453.0,Woonsocket,186,0.0,0.0,0.0,0.0,0.0
1454.0,N. Providence,187,0.0,0.0,0.0,0.0,0.0
1455.0,N. Smithfield,188,0.0,0.0,0.0,0.0,0.0
1456.0,"Warwick, N. Smithfield",189,0.0,0.0,0.0,0.0,0.0
1458.0,"Bristol, Warren",191,0.0,0.0,0.0,0.0,0.0
1459.0,"Johnston, N. Smithfield",192,0.0,0.0,0.0,0.0,0.0
1462.0,"Cranston, Exeter",195,0.0,0.0,0.0,0.0,0.0
1466.0,Warren,199,0.0,0.0,0.0,0.0,0.0
1467.0,Middletown,200,0.0,0.0,0.0,0.0,0.0
1469.0,"S. Kingstown, Charlestown, Westerly",202,0.0,0.0,0.0,0.0,0.0
1476.0,Smithfield,209,0.0,0.0,0.0,0.0,0.0
1484.0,Tiverton,213,0.0,0.0,0.0,0.0,0.0
1485.0,Lincoln,214,0.0,0.0,0.0,0.0,0.0
1491.0,Scituate,218,0.0,0.0,0.0,0.0,0.0
1498.0,"Providence, Pawtucket",225,0.0,0.0,0.0,0.0,0.0
1506.0,Cranston,233,0.0,0.0,0.0,0.0,0.0
1509.0,Scituate,236,0.0,0.0,0.0,0.0,0.0
1510.0,Providence,237,1.45,0.0,0.0,0.0,0.0
1512.0,Lincoln,239,3.8,0.0,0.0,0.0,0.0
1514.0,Cumberland,241,0.0,0.0,0.0,0.0,0.0
1522.0,"E. Providence, Pawtucket",249,1.8,0.6,0.0,0.0,0.0
1525.0,Smithfield,252,1.2,0.2,0.0,0.0,0.0
1526.0,Burrillville,253,0.1,1.2,0.0,0.0,0.0
1528.0,Lincoln,255,0.2,3.8,0.0,0.0,0.0
1531.0,Cranston,258,0.1,1.8,0.0,0.0,0.0
1532.0,Cranston,259,0.1,1.8,0.0,0.0,0.0
1535.0,Providence,262,0.1,0.6,0.6,0.0,0.0
1536.0,"E. Greenwich, W. Warwick",263,0.1,0.1,0.1,1.1,0.0
1537.0,"Cranston, Warwick",264,0.1,0.1,1.3,1.3,0.0
1540.0,"Providence, N. Providence",267,0.2,0.2,0.0,1.9,0.0
1541.0,"E. Providence, Bristol",268,0.5,0.5,1.4,5.4,0.0
1542.0,"Cumberland, Johnston",269,0.3,0.3,1.3,1.3,0.0
1544.0,Warwick,271,0.33,0.6,4.4,5.0,0.0
5010.0,Burrillville,313,0.0,0.0,0.0,0.0,0.0
5022.0,Cranston,320,0.0,0.0,0.0,0.0,0.0
5030.0,Cranston,327,0.0,0.0,0.0,0.0,0.0
5034.0,Cumberland,330,0.0,0.0,0.0,0.0,0.0
5035.0,Cumberland,331,0.0,0.0,0.0,0.0,0.0
5036.0,Cumberland,332,0.0,0.3,0.2,0.0,0.0
5044.0,E. Providence,337,0.0,0.0,0.0,0.0,0.0
5052.0,Foster,343,0.0,0.0,0.0,0.0,0.0
5056.0,Foster,344,0.0,0.0,0.0,0.0,0.0
5067.0,Lincoln,349,0.0,0.0,0.0,0.0,0.0
5069.0,Lincoln,350,0.3,0.2,0.0,0.0,0.0
5071.0,Middletown,352,0.0,0.0,0.0,0.0,0.0
5085.0,N. Smithfield,356,0.0,0.0,0.0,0.0,0.0
5092.0,Narragansett,361,0.0,0.0,0.0,0.0,0.0
5115.0,N. Kingstown,379,0.0,0.0,0.0,0.0,0.0
1439.0,N. Kingstown,179,0.0,0.0,0.0,0.0,0.0
5122.0,N. Kingstown,382,0.0,0.0,0.0,0.0,0.0
5133.0,Pawtucket,388,0.0,0.0,0.0,0.0,0.0
5134.0,Pawtucket,389,0.0,0.0,0.0,0.0,0.0
5135.0,Pawtucket,390,0.0,0.0,0.5,0.0,0.0
5136.0,Pawtucket,391,0.0,0.0,0.3,0.2,0.0
5137.0,Pawtucket,392,0.0,0.0,0.0,0.5,0.0
5138.0,Pawtucket,393,0.0,0.0,0.0,0.3,0.2
5139.0,Pawtucket,394,0.0,0.0,0.0,0.0,0.5
5140.0,Pawtucket,395,0.0,0.0,0.0,0.0,0.3
5141.0,Pawtucket,396,0.0,0.0,0.0,0.0,0.0
5142.0,Pawtucket,397,0.0,0.0,0.0,0.0,0.0
5143.0,Pawtucket,398,0.0,0.0,0.0,0.0,0.0
5144.0,Pawtucket,399,0.0,0.0,0.0,0.0,0.0
5145.0,Pawtucket,400,0.0,0.0,0.0,0.0,0.0
