TIPID,Municipalities,Allocation,ID,LineItemName,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond
5113.0,"Newport, Middletown, Portsmouth, Providence",0.0,657,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5195.0,Providence,0.0,436,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5204.0,Providence,0.0,442,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5208.0,Providence,0.0,672,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5249.0,S. Kingstown,0.0,469,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5254.0,Statewide,0.0,471,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5255.0,Statewide,0.0,472,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5256.0,Statewide,0.0,473,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5308.0,Woonsocket,0.0,690,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
9008.0,Statewide,0.0,693,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
9009.0,Statewide,0.0,694,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
7109.0,Statewide,1.0,538,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1296.0,Barrington,2.45,60,,,,,,,,,,,,,,,,,2.45,,,,0.0,0.0,0.0
1297.0,Barrington,0.0,61,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5004.0,Barrington,0.0,309,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1290.0,"Barrington, E. Providence",0.0,54,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1298.0,"Barrington, E. Providence",0.0,62,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1300.0,Bristol,0.0,64,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1301.0,Bristol,0.0,65,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1299.0,Bristol,0.0,63,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1302.0,Burrillville,0.1,66,,,,,,,,,,,,,,,,,0.1,,,,0.0,0.0,0.0
1304.0,Burrillville,0.0,67,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5009.0,Burrillville,0.0,313,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5008.0,Burrillville,0.0,312,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1305.0,Central Falls,0.0,68,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1306.0,"Central Falls, Pawtucket",0.0,69,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1307.0,"Central Falls, Pawtucket, Cumberland",0.0,70,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1317.0,"Central Falls, Pawtucket, Cumberland",0.0,78,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1308.0,Charlestown,0.0,71,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1311.0,Coventry,0.0,73,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1309.0,Coventry,0.0,72,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5018.0,Coventry,0.0,318,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
5019.0,Coventry,0.0,319,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1313.0,"Coventry, W. Warwick",0.0,74,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1314.0,Cranston,0.35,75,,,,,,,,,,,,,,0.35,,,,,,,0.0,0.0,0.0
1315.0,Cranston,0.0,76,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
5026.0,Cranston,0.0,324,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5027.0,Cranston,0.0,325,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1318.0,Cumberland,0.0,79,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1319.0,Cumberland,0.0,80,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1321.0,Cumberland,0.0,81,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
1322.0,Cumberland,0.0,82,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
