TIPID,Municipalities,FY17CMAQ,FY17Earmarks,FY17FTA,FY17GARVEE,FY17GasTax,FY17HSIP,FY17IWAYLandSales,FY17NHPP,FY17NHTSA,FY17NationalFreight,FY17Planning,FY17ProjectCloseouts,FY17RICAPHIP,FY17RICAPfacilities,FY17RICAPprojects,FY17RIHMA,FY17RailwayProgram,FY17STP,FY17TAP,FY17TollCredits,FY17TollRevenue,FY17TransitBond,FY17allocation,ID,LineItemName,ProjectName
1340.0,Johnston,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,725,,
1337.0,Johnston,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,722,,
1339.0,Johnston,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,724,,
1338.0,Johnston,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,723,,
1341.0,"Johnston, Smithfield",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,726,,
1275.0,"Johnston, Smithfield, Lincoln",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,667,,
1342.0,Lincoln,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,727,,
1343.0,Lincoln,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,728,,
1346.0,Lincoln,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,729,,
1347.0,Lincoln,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,730,,
1348.0,Lincoln,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,731,,
1349.0,Lincoln,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,732,,
1350.0,Lincoln,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,733,,
1276.0,"Lincoln, Cumberland",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,668,,
1292.0,"Lincoln, N. Smithfield",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,681,,
1353.0,Little Compton,,0.0,,,,,,,,,,0.1,,,,,,,,0.0,,0.0,0.1,736,,
1354.0,Little Compton,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,737,,
1351.0,Little Compton,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,734,,
1352.0,Little Compton,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,735,,
1355.0,Middletown,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,738,,
1357.0,Middletown,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,739,,
1359.0,Middletown,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,741,,
