TIPID,Municipalities,BridgeGroup,FY16CMAQ,FY16FTA,FY16GARVEE,FY16GasTax,FY16HSIP,FY16IWAYLandSales,FY16NHPP,FY16NHTSA,FY16NationalFreight,FY16Planning,FY16ProjectCloseouts,FY16RICAPFacilities,FY16RICAPHIP,FY16RIHMA,FY16RailwayProgram,FY16STBGSA,FY16STP,FY16TAP,FY16TIGER,FY16TollRevenue,FY16TransitHubBond,FY16UnallocatedBonds,FY16allocation,FY16other,ID,RICAPProjects
891.0,,Bridge Group 34TG (G),,,1.6,,,,,,,,,,,,,,,,,,,,1.6,,15,
892.0,,Bridge Group 35TH (H),,,1.2,,,,,,,,,,,,,,,,,,,,1.2,,16,
893.0,,Bridge Group 37T (I),,,2.5,,,,,,,,,,,,,,,,,,,,2.5,,17,
849.0,,Bridge Group 38,,,1.624,,,,,,,,,,,,,,,,,,,,1.624,,18,
894.0,,Bridge Group 38T (L),,,1.3,,,,,,,,,,,,,,,,,,,,1.3,,19,
862.0,,Bridge Group 51,,,11.831,,,,3.395,,,,,,,,,,,,,,,,15.226,,20,
863.0,,Bridge Group 52,,,,,,,0.8,,,,,,,,,,,,,,,,0.8,,21,
914.0,,Bridge Group 52A,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,22,
895.0,,Bridge Group 52B,,,,,,,5.48,,,,,,,,,,,,,,,,5.48,,23,
864.0,,Bridge Group 53,,,,,,,,,,,,,,,,,0.756,,,,,,0.756,,24,
896.0,,Bridge Group 53B,,,,,,,,,,,,,,,,,1.5,,,,,,1.5,,25,
865.0,,Bridge Group 54,,,,,,,1.3,,,,,,,,,,1.3,,,,,,2.6,,26,
915.0,,Bridge Group 56A,,,,,,,,,,,,,,,,,0.375,,,,,,0.375,,27,
916.0,,Bridge Group 56B,,,,,,,,,,,,,,,,,1.388,,,,,,1.388,,28,
897.0,,Bridge Group 56C,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,29,
917.0,,Bridge Group 56D,,,,,,,,,,,,,,,,,1.5,,,,,,1.5,,30,
868.0,,Bridge Group 57,,,10.41,,,,1.99,,,,,,,,,,,,,,,,12.4,,31,
898.0,,Bridge Group 57C,,,,,,,0.0125,,,,,,,,,,0.0875,,,,,,0.1,,32,
899.0,,Bridge Group 57D,,,,,,,0.125,,,,,,,,,,0.875,,,,,,1.0,,33,
900.0,,Bridge Group 57F,,,,,,,0.375,,,,,,,,,,2.625,,,,,,3.0,,34,
918.0,,Bridge Group 57L,,,,,,,0.125,,,,,,,,,,0.875,,,,,,1.0,,35,
901.0,,Bridge Group 57M,,,,,,,0.6875,,,,,,,,,,4.8125,,,,,,5.5,,36,
902.0,,Bridge Group 57T (J),,,2.5,,,,,,,,,,,,,,,,,,,,2.5,,37,
869.0,,Bridge Group 58,,,,,,,9.75,,,,,,,,,,6.35,,,,,,16.1,,38,
870.0,,Bridge Group 59,,,,,,,0.85,,,,,,,,,,,,,,,,0.85,,39,
903.0,,Bridge Group 59B,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,40,
904.0,,Bridge Group 59C,,,,,,,0.1,,,,,,,,,,,,,,,,0.1,,41,
871.0,,Bridge Group 62,,,,,,,,,,,,,,,,,0.3,,,,,,0.3,,42,
905.0,,Bridge Group 62T (K),,,0.359,,,,,,,,,,0.085,0.056,,,,,,,,,0.5,,43,
873.0,,Bridge Group 66,,,,,,,0.45,,,,,,,,,,,,,,,,0.45,,44,
874.0,,Bridge Group 67,,,,,,,8.779,,,,,,,,,,,,,,,,8.779,,45,
907.0,,Bridge Group 67B,,,,,,,0.4,,,,,,,,,,,,,,,,0.4,,46,
908.0,,Bridge Group 67T,,,7.0,,,,,,,,,,,,,,,,,,,,7.0,,47,
876.0,,Bridge Group 69,,,,,,,3.5,,,,,,,,,,1.5,,,,,,5.0,,48,
920.0,,Bridge Group 69T (H),,,2.2,,,,,,,,,,,,,,,,,,,,2.2,,49,
924.0,,Bridge Group 69A,,,,,,,0.4025,,,,,,,,,,0.1725,,,,,,0.575,,50,
926.0,,Bridge Group 69D,,,,,,,0.561,,0.24,,,,,,,,,,,,,,0.801,,51,
877.0,,Bridge Group 70,,,,,,,3.0806,,,,,,,,,,2.6454,,,,,,5.726,,52,
910.0,,Bridge Group 70A,,,,,,,0.9415,,,,,,,,,,0.8085,,,,,,1.75,,53,
919.0,,Bridge Group 70B,,,,,,,,,2.336,,,,,,,,2.006,,,,,,4.342,,54,
911.0,,Bridge Group 70C,,,,,,,1.345,,,,,,,,,,1.155,,,,,,2.5,,55,
878.0,,Bridge Group 71,,,,,,,3.8046,,,,,,,,,,,,,,,,3.8046,,56,
879.0,,Bridge Group 75,,,,,,,1.8,,,,,,,,,,,,,,,,1.8,,57,
912.0,,Bridge Group 75T,,,4.4,,,,,,,,,,,,,,,,,,,,4.4,,58,
801.0,,Immediate Action,,,,,,,,,,,,,8.0,,,,,,,,,,8.0,,59,
